,x,approximated_data,experimental_data
0,-4.0,-1.3258176636680326,-1.226474833065786
1,-3.991991991991992,-1.325345715145465,-1.352998575379702
2,-3.983983983983984,-1.3248719815810106,-1.195334273960872
3,-3.975975975975976,-1.3243964530420314,-1.0197904817604262
4,-3.967967967967968,-1.3239191195237243,-1.3707497944683915
5,-3.95995995995996,-1.3234399709484816,-1.3702673623383177
6,-3.951951951951952,-1.3229589971652427,-1.0071164340637644
7,-3.943943943943944,-1.3224761879488414,-1.1689892421182595
8,-3.935935935935936,-1.3219915329993446,-1.415886410186335
9,-3.9279279279279278,-1.3215050219413862,-1.2129930132241933
10,-3.91991991991992,-1.321016644323492,-1.4137001828859845
11,-3.911911911911912,-1.3205263896173989,-1.4136723403314502
12,-3.903903903903904,-1.3200342472173652,-1.2716417929041584
13,-3.895895895895896,-1.319540206439477,-1.7021962553710366
14,-3.8878878878878878,-1.3190442565209444,-1.664027823023551
15,-3.87987987987988,-1.3185463866193898,-1.4310038924675843
16,-3.871871871871872,-1.3180465858121333,-1.5206128098790181
17,-3.863863863863864,-1.3175448430954644,-1.2546953765764095
18,-3.855855855855856,-1.3170411473839108,-1.498645962488153
19,-3.8478478478478477,-1.316535487509497,-1.5989962277765553
20,-3.83983983983984,-1.3160278522209967,-1.022898098436686
21,-3.831831831831832,-1.3155182301831754,-1.3606734902804825
22,-3.823823823823824,-1.3150066099760265,-1.3015009690384418
23,-3.815815815815816,-1.3144929800939993,-1.5994426173366907
24,-3.8078078078078077,-1.3139773289452168,-1.4228538738502534
25,-3.7997997997998,-1.3134596448506892,-1.291275126908716
26,-3.7917917917917916,-1.312939916043514,-1.5431386315279745
27,-3.7837837837837838,-1.3124181306680718,-1.2372785269989375
28,-3.775775775775776,-1.311894276779211,-1.432022014762972
29,-3.7677677677677677,-1.3113683423414249,-1.3697070923000803
30,-3.75975975975976,-1.3108403152280201,-1.4311816376738995
31,-3.7517517517517516,-1.310310183220275,-0.9398545463184875
32,-3.7437437437437437,-1.3097779340065903,-1.312477378954177
33,-3.735735735735736,-1.3092435551816295,-1.5207857409728096
34,-3.7277277277277276,-1.3087070342454519,-1.144198051824814
35,-3.71971971971972,-1.308168358602633,-1.5523370885968373
36,-3.7117117117117115,-1.3076275155613792,-1.265854796560428
37,-3.7037037037037037,-1.3070844923326306,-1.6990185171085856
38,-3.6956956956956954,-1.3065392760291539,-1.57217648580884
39,-3.6876876876876876,-1.3059918536646278,-1.266619606490803
40,-3.67967967967968,-1.3054422121527152,-1.157748896153633
41,-3.6716716716716715,-1.3048903383061285,-1.2706166820681344
42,-3.6636636636636637,-1.3043362188356828,-1.327465875313331
43,-3.6556556556556554,-1.3037798403493388,-1.3640005794671965
44,-3.6476476476476476,-1.3032211893512364,-1.598925587424722
45,-3.6396396396396398,-1.3026602522407178,-1.4466290939196595
46,-3.6316316316316315,-1.3020970153113371,-1.3942247695032945
47,-3.6236236236236237,-1.3015314647498644,-1.0901070195060811
48,-3.6156156156156154,-1.3009635866352725,-1.2322399287215802
49,-3.6076076076076076,-1.3003933669377188,-1.6530013980102656
50,-3.5995995995995997,-1.299820791517511,-1.235003997638552
51,-3.5915915915915915,-1.299245846124065,-1.3762623022073284
52,-3.5835835835835836,-1.2986685163948486,-1.4340529164560403
53,-3.5755755755755754,-1.2980887878543155,-1.175753530086142
54,-3.5675675675675675,-1.2975066459128266,-1.0913067414136364
55,-3.5595595595595597,-1.2969220758655606,-1.1106660520423208
56,-3.5515515515515514,-1.2963350628914099,-1.4641785675359376
57,-3.5435435435435436,-1.2957455920518672,-1.3575880672221101
58,-3.5355355355355353,-1.295153648289898,-1.228900962009185
59,-3.5275275275275275,-1.294559216428802,-1.0994501910043302
60,-3.5195195195195197,-1.2939622811710594,-1.3897971287401174
61,-3.5115115115115114,-1.2933628270971673,-1.3304946224299308
62,-3.5035035035035036,-1.2927608386644613,-1.514027833465667
63,-3.4954954954954953,-1.2921563002059244,-1.5313976250220587
64,-3.4874874874874875,-1.2915491959289824,-1.1290440314501429
65,-3.4794794794794797,-1.2909395099142869,-1.0196915042001222
66,-3.4714714714714714,-1.2903272261144825,-1.3047292504305492
67,-3.4634634634634636,-1.2897123283529628,-1.089005748774558
68,-3.4554554554554553,-1.2890948003226101,-1.2167675953130832
69,-3.4474474474474475,-1.2884746255845234,-1.4174985765055483
70,-3.4394394394394396,-1.2878517875667288,-1.215572666465046
71,-3.4314314314314314,-1.287226269562879,-0.9796189562696853
72,-3.4234234234234235,-1.2865980547309355,-1.2937632625529258
73,-3.4154154154154153,-1.2859671260918366,-0.9730383949290353
74,-3.4074074074074074,-1.2853334665281517,-1.8092824873461006
75,-3.3993993993993996,-1.284697058782718,-1.1203165579076733
76,-3.3913913913913913,-1.2840578854572637,-1.2666484718096296
77,-3.3833833833833835,-1.283415929011015,-1.3432173991041885
78,-3.3753753753753752,-1.2827711717592862,-1.2644190164521858
